TransactionID,Date,Product,Region,Sales,Quantity,CustomerID
1,2025-01-01,WidgetA,North,100,5,C001
2,2025-01-02,WidgetB,South,150,3,C002
3,2025-01-03,WidgetC,East,,7,C003
4,2025-01-04,WidgetA,West,200,4,C004
5,2025-01-05,WidgetB,North,120,,C005
6,2025-01-06,WidgetC,South,180,6,C006
7,2025-01-07,WidgetA,East,90,2,C007
8,2025-01-08,WidgetB,West,210,8,C008
9,2025-01-09,WidgetC,North,160,5,C009
10,2025-01-10,WidgetA,South,140,4,C010
1,2025-01-01,WidgetA,North,100,5,C001
11,2025-01-11,WidgetB,East,170,6,C011
12,2025-01-12,WidgetC,West,190,7,C012
13,2025-01-13,WidgetA,North,110,3,C013
14,2025-01-14,WidgetB,South,130,4,C014
15,2025-01-15,WidgetC,East,200,9,C015
16,2025-01-16,WidgetA,West,180,6,C016
17,2025-01-17,WidgetB,North,150,5,C017
18,2025-01-18,WidgetC,South,220,10,C018
19,2025-01-19,WidgetA,East,120,4,C019
20,2025-01-20,WidgetB,West,170,7,C020
21,2025-01-21,WidgetC,North,140,5,C021
22,2025-01-22,WidgetA,South,160,6,C022
23,2025-01-23,WidgetB,East,190,8,C023
24,2025-01-24,WidgetC,West,210,9,C024
25,2025-01-25,WidgetA,North,130,4,C025
26,2025-01-26,WidgetB,South,180,7,C026
27,2025-01-27,WidgetC,East,150,5,C027
28,2025-01-28,WidgetA,West,200,8,C028
29,2025-01-29,WidgetB,North,170,6,C029
30,2025-01-30,WidgetC,South,140,4,C030
