TransactionID,Date,Product,Region,Sales,Quantity
1,2025-01-01 00:00:00,WidgetA,North,311,10
2,2025-01-01 01:00:00,WidgetB,North,442,8
3,2025-01-01 02:00:00,WidgetA,South,86,2
4,2025-01-01 03:00:00,WidgetB,West,444,10
5,2025-01-01 04:00:00,WidgetB,North,349,11
6,2025-01-01 05:00:00,WidgetC,East,320,7
7,2025-01-01 06:00:00,WidgetA,South,476,4
8,2025-01-01 07:00:00,WidgetC,North,158,16
9,2025-01-01 08:00:00,WidgetA,North,37,10
10,2025-01-01 09:00:00,WidgetA,South,445,17
11,2025-01-01 10:00:00,WidgetA,South,165,3
12,2025-01-01 11:00:00,WidgetC,South,36,1
13,2025-01-01 12:00:00,WidgetB,West,180,11
14,2025-01-01 13:00:00,WidgetC,South,121,5
15,2025-01-01 14:00:00,WidgetC,West,153,12
16,2025-01-01 15:00:00,WidgetA,West,93,1
17,2025-01-01 16:00:00,WidgetB,South,153,17
18,2025-01-01 17:00:00,WidgetB,West,291,15
19,2025-01-01 18:00:00,WidgetB,West,297,15
20,2025-01-01 19:00:00,WidgetB,West,438,4
21,2025-01-01 20:00:00,WidgetA,North,186,18
22,2025-01-01 21:00:00,WidgetB,East,146,18
23,2025-01-01 22:00:00,WidgetA,South,436,6
24,2025-01-01 23:00:00,WidgetA,East,298,12
25,2025-01-02 00:00:00,WidgetB,North,157,6
26,2025-01-02 01:00:00,WidgetC,East,291,7
27,2025-01-02 02:00:00,WidgetA,East,420,5
28,2025-01-02 03:00:00,WidgetC,East,430,18
29,2025-01-02 04:00:00,WidgetA,West,383,13
30,2025-01-02 05:00:00,WidgetB,North,167,13
31,2025-01-02 06:00:00,WidgetB,South,20,4
32,2025-01-02 07:00:00,WidgetC,South,385,16
33,2025-01-02 08:00:00,WidgetA,South,177,9
34,2025-01-02 09:00:00,WidgetB,West,278,7
35,2025-01-02 10:00:00,WidgetB,East,208,3
36,2025-01-02 11:00:00,WidgetB,North,102,18
37,2025-01-02 12:00:00,WidgetA,North,189,7
38,2025-01-02 13:00:00,WidgetC,North,297,4
39,2025-01-02 14:00:00,WidgetA,West,123,15
40,2025-01-02 15:00:00,WidgetC,West,454,7
41,2025-01-02 16:00:00,WidgetC,North,169,5
42,2025-01-02 17:00:00,WidgetA,East,217,16
43,2025-01-02 18:00:00,WidgetC,East,134,15
44,2025-01-02 19:00:00,WidgetA,South,340,3
45,2025-01-02 20:00:00,WidgetA,West,91,7
46,2025-01-02 21:00:00,WidgetA,North,245,11
47,2025-01-02 22:00:00,WidgetB,West,349,16
48,2025-01-02 23:00:00,WidgetB,North,359,7
49,2025-01-03 00:00:00,WidgetC,East,198,17
50,2025-01-03 01:00:00,WidgetA,West,400,9
51,2025-01-03 02:00:00,WidgetA,South,411,17
52,2025-01-03 03:00:00,WidgetB,South,460,10
53,2025-01-03 04:00:00,WidgetA,South,170,12
54,2025-01-03 05:00:00,WidgetB,West,348,12
55,2025-01-03 06:00:00,WidgetC,South,84,11
56,2025-01-03 07:00:00,WidgetC,West,238,1
57,2025-01-03 08:00:00,WidgetA,West,425,13
58,2025-01-03 09:00:00,WidgetB,South,68,12
59,2025-01-03 10:00:00,WidgetB,South,246,9
60,2025-01-03 11:00:00,WidgetB,East,96,8
61,2025-01-03 12:00:00,WidgetB,East,477,9
62,2025-01-03 13:00:00,WidgetC,North,167,8
63,2025-01-03 14:00:00,WidgetC,East,427,2
64,2025-01-03 15:00:00,WidgetC,West,70,12
65,2025-01-03 16:00:00,WidgetA,North,392,5
66,2025-01-03 17:00:00,WidgetC,West,373,16
67,2025-01-03 18:00:00,WidgetB,South,128,11
68,2025-01-03 19:00:00,WidgetA,East,370,5
69,2025-01-03 20:00:00,WidgetB,West,160,19
70,2025-01-03 21:00:00,WidgetC,South,311,12
71,2025-01-03 22:00:00,WidgetA,West,483,4
72,2025-01-03 23:00:00,WidgetA,East,323,19
73,2025-01-04 00:00:00,WidgetC,West,436,19
74,2025-01-04 01:00:00,WidgetA,East,247,16
75,2025-01-04 02:00:00,WidgetA,West,487,8
76,2025-01-04 03:00:00,WidgetA,North,386,5
77,2025-01-04 04:00:00,WidgetA,East,177,18
78,2025-01-04 05:00:00,WidgetA,South,253,10
79,2025-01-04 06:00:00,WidgetA,East,177,7
